V1	V2	organism
Q92572	Q9Y2T2	Human
P42224	P52630	Human
P42224	Q00978	Human
P52630	Q00978	Human
O94776	O95983	Human
O94776	Q09028	Human
O94776	Q13547	Human
O94776	Q14839	Human
O94776	Q16576	Human
O94776	Q92769	Human
O95983	Q09028	Human
O95983	Q13547	Human
O95983	Q14839	Human
O95983	Q16576	Human
O95983	Q92769	Human
Q09028	Q13547	Human
Q09028	Q14839	Human
Q09028	Q16576	Human
Q09028	Q92769	Human
Q13547	Q14839	Human
Q13547	Q16576	Human
Q13547	Q92769	Human
Q14839	Q16576	Human
Q14839	Q92769	Human
Q16576	Q92769	Human
O94776	O95983	Human
O94776	Q09028	Human
O94776	Q13547	Human
O94776	Q14839	Human
O94776	Q16576	Human
O94776	Q92769	Human
O94776	Q9UBB5	Human
O95983	Q09028	Human
O95983	Q13547	Human
O95983	Q14839	Human
O95983	Q16576	Human
O95983	Q92769	Human
O95983	Q9UBB5	Human
Q09028	Q13547	Human
Q09028	Q14839	Human
Q09028	Q16576	Human
Q09028	Q92769	Human
Q09028	Q9UBB5	Human
Q13547	Q14839	Human
Q13547	Q16576	Human
Q13547	Q92769	Human
Q13547	Q9UBB5	Human
Q14839	Q16576	Human
Q14839	Q92769	Human
Q14839	Q9UBB5	Human
Q16576	Q92769	Human
Q16576	Q9UBB5	Human
Q92769	Q9UBB5	Human
O60216	Q14683	Human
O60216	Q8WVM7	Human
O60216	Q9UQE7	Human
Q14683	Q8WVM7	Human
Q14683	Q9UQE7	Human
Q8WVM7	Q9UQE7	Human
O60216	Q14683	Human
O60216	Q8N3U4	Human
O60216	Q9UQE7	Human
Q14683	Q8N3U4	Human
Q14683	Q9UQE7	Human
Q8N3U4	Q9UQE7	Human
O35430	P52188	Rat
O35430	Q62696	Rat
O35430	Q62915	Rat
O35430	Q792I0	Rat
P52188	Q62696	Rat
P52188	Q62915	Rat
P52188	Q792I0	Rat
Q62696	Q62915	Rat
Q62696	Q792I0	Rat
Q62915	Q792I0	Rat
O60244	O75448	Human
O60244	P10827	Human
O60244	Q15648	Human
O60244	Q93074	Human
O60244	Q9NVC6	Human
O60244	Q9Y2W1	Human
O60244	Q9Y2X0	Human
O75448	P10827	Human
O75448	Q15648	Human
O75448	Q93074	Human
O75448	Q9NVC6	Human
O75448	Q9Y2W1	Human
O75448	Q9Y2X0	Human
P10827	Q15648	Human
P10827	Q93074	Human
P10827	Q9NVC6	Human
P10827	Q9Y2W1	Human
P10827	Q9Y2X0	Human
Q15648	Q93074	Human
Q15648	Q9NVC6	Human
Q15648	Q9Y2W1	Human
Q15648	Q9Y2X0	Human
Q93074	Q9NVC6	Human
Q93074	Q9Y2W1	Human
Q93074	Q9Y2X0	Human
Q9NVC6	Q9Y2W1	Human
Q9NVC6	Q9Y2X0	Human
Q9Y2W1	Q9Y2X0	Human
O00189	Q9UPM8	Human
O00189	Q9Y587	Human
O00189	Q9Y6B7	Human
Q9UPM8	Q9Y587	Human
Q9UPM8	Q9Y6B7	Human
Q9Y587	Q9Y6B7	Human
O15315	O43502	Human
O15315	O43543	Human
O15315	O75771	Human
O43502	O43543	Human
O43502	O75771	Human
O43543	O75771	Human
P38483	Q923K9	Rat
P38483	Q99PF5	Rat
Q923K9	Q99PF5	Rat
P07335	P39052	Rat
P07335	P60711	Rat
P07335	P62260	Rat
P07335	P63102	Rat
P07335	P68370	Rat
P07335	Q9Z0W7	Rat
P39052	P60711	Rat
P39052	P62260	Rat
P39052	P63102	Rat
P39052	P68370	Rat
P39052	Q9Z0W7	Rat
P60711	P62260	Rat
P60711	P63102	Rat
P60711	P68370	Rat
P60711	Q9Z0W7	Rat
P62260	P63102	Rat
P62260	P68370	Rat
P62260	Q9Z0W7	Rat
P63102	P68370	Rat
P63102	Q9Z0W7	Rat
P68370	Q9Z0W7	Rat
O60934	P49959	Human
O60934	Q92878	Human
P49959	Q92878	Human
P49959	Q92878	Human
O60934	P49959	Human
O60934	Q92878	Human
P49959	Q92878	Human
P48995	Q14573	Human
P48995	Q9NSC5	Human
Q14573	Q9NSC5	Human
P49815	Q92574	Human
P38650	P62628	Rat
P38650	P63036	Rat
P38650	P63170	Rat
P38650	Q62871	Rat
P38650	Q63100	Rat
P38650	Q9JJ79	Rat
P38650	Q9QXU8	Rat
P38650	Q9Z336	Rat
P62628	P63036	Rat
P62628	P63170	Rat
P62628	Q62871	Rat
P62628	Q63100	Rat
P62628	Q9JJ79	Rat
P62628	Q9QXU8	Rat
P62628	Q9Z336	Rat
P63036	P63170	Rat
P63036	Q62871	Rat
P63036	Q63100	Rat
P63036	Q9JJ79	Rat
P63036	Q9QXU8	Rat
P63036	Q9Z336	Rat
P63170	Q62871	Rat
P63170	Q63100	Rat
P63170	Q9JJ79	Rat
P63170	Q9QXU8	Rat
P63170	Q9Z336	Rat
Q62871	Q63100	Rat
Q62871	Q9JJ79	Rat
Q62871	Q9QXU8	Rat
Q62871	Q9Z336	Rat
Q63100	Q9JJ79	Rat
Q63100	Q9QXU8	Rat
Q63100	Q9Z336	Rat
Q9JJ79	Q9QXU8	Rat
Q9JJ79	Q9Z336	Rat
Q9QXU8	Q9Z336	Rat
O35626	Q9D3A8	Mouse
O35626	Q9Z0J4	Mouse
Q9D3A8	Q9Z0J4	Mouse
O54960	P29476	Rat
O54960	Q9JKF8	Rat
P29476	Q9JKF8	Rat
O54960	P09951	Rat
O54960	P29476	Rat
P09951	P29476	Rat
P62877	P63208	Human
P62877	Q13309	Human
P62877	Q13616	Human
P63208	Q13309	Human
P63208	Q13616	Human
Q13309	Q13616	Human
P62877	P63208	Human
P62877	Q14999	Human
P62877	Q8N3Y1	Human
P63208	Q14999	Human
P63208	Q8N3Y1	Human
Q14999	Q8N3Y1	Human
A0A0G2K761	P62870	Rat
